"Date","Open","High","Low","Close","Volume"
"2014-03-27","565.42","565.97","551.05","557.14","7653360"
"2014-03-28","559.5","566.6","558.88","560.08","4517836"
"2014-03-31","565.2","567.5","556.42","557.26","3882892"
"2014-04-01","560.14","568.75","559","567.45","4364680"
"2014-04-02","571.33","572.4","562","567.55","4176714"
"2014-04-03","569.85","587.28","564.13","569.74","5085676"
"2014-04-04","574.65","577.77","543","543.14","6350869"
"2014-04-07","544.79","549.85","530.53","540.63","3952384"
"2014-04-08","545","559.88","544.7","557.51","3487557"
"2014-04-09","567.26","567.8","555.38","567.04","3033286"
"2014-04-10","568","568.21","545.5","546.69","3296494"
"2014-04-11","537.69","547.59","533.4","537.76","3175047"
"2014-04-14","543.66","553.02","540.52","545.2","2541217"
"2014-04-15","551","552.89","530.64","548.7","3999390"
"2014-04-16","557.7","564","553.1","563.9","4583800"
"2014-04-17","556.32","557","539.4","543.34","5615081"
"2014-04-21","543.99","544","534","539.37","2425068"
"2014-04-22","536","547.99","536","545.5","2331111"
"2014-04-23","544.14","544.8","528.13","537.51","1958526"
"2014-04-24","541.69","542.5","531","534.44","2069235"
"2014-04-25","532.26","533.86","522.5","523.1","2371746"
"2014-04-28","525.8","525.9","511","522.98","3752291"
"2014-04-29","523.89","537.76","523","536.33","2535424"
"2014-04-30","536.3","536.34","529.09","534.88","2038450"
"2014-05-01","534.25","539.91","532.86","538.53","2004335"
"2014-05-02","541.44","542.4","533.27","533.87","1780869"
"2014-05-05","530.24","535.72","527.58","535.33","1228622"
"2014-05-06","533.41","534.55","522.26","522.57","1835081"
"2014-05-07","523.25","524.43","511.09","518","3074269"
"2014-05-08","515.72","527.35","514.46","520.17","2452021"
"2014-05-09","518.76","527.35","514.28","526.62","2261298"
"2014-05-12","531.84","538.75","527.51","538.43","1948655"
"2014-05-13","539.58","543.99","537.9","541.54","2011903"
"2014-05-14","541.82","541.82","533.11","534.41","1281068"
"2014-05-15","533.13","534","525.31","529.12","1832994"
"2014-05-16","529.75","530.84","523.57","528.3","1907713"
"2014-05-19","528.88","539.35","525.66","538.83","1977840"
"2014-05-20","540","546.35","536.57","540.39","2425272"
"2014-05-21","542.9","549.75","542.11","549.7","1564721"
"2014-05-22","552.2","557.96","551","555.45","2149668"
"2014-05-23","558","565","554.17","563.8","2672589"
"2014-05-27","567.8","574.87","564.15","574.87","2191705"
"2014-05-28","574.57","577.66","569.95","570.45","1581558"
"2014-05-29","573.39","573.48","568.45","570.56","1411198"
"2014-05-30","571.64","572.58","565.79","571.65","1871700"
"2014-06-02","569.75","570.41","556.7","564.34","1663338"
"2014-06-03","560.87","562.4","552.53","554.51","2031635"
"2014-06-04","551.52","558.58","548.56","553.76","1729183"
